MDLSCN	Category
MESSAGE-GLOBIOM 1.0-EMF33_Med2C_limbio	excluded
MESSAGE-GLOBIOM 1.0-EMF33_Med2C_nobeccs	2C
MESSAGE-GLOBIOM 1.0-EMF33_Med2C_nofuel	excluded
MESSAGE-GLOBIOM 1.0-EMF33_Med2C_none	2C
MESSAGE-GLOBIOM 1.0-EMF33_WB2C_cost100	15C
MESSAGE-GLOBIOM 1.0-EMF33_WB2C_full	15C
MESSAGE-GLOBIOM 1.0-EMF33_WB2C_limbio	15C
MESSAGE-GLOBIOM 1.0-EMF33_WB2C_nofuel	15C
MESSAGE-GLOBIOM 1.0-EMF33_tax_hi_full	2C
MESSAGE-GLOBIOM 1.0-EMF33_tax_hi_none	excluded
MESSAGE-GLOBIOM 1.0-EMF33_tax_lo_full	Above2C
MESSAGE-GLOBIOM 1.0-EMF33_tax_lo_none	Above2C
MESSAGE-GLOBIOM 1.0-SSP1-19	15C
MESSAGE-GLOBIOM 1.0-SSP1-26	excluded
MESSAGE-GLOBIOM 1.0-SSP1-34	Above2C
MESSAGE-GLOBIOM 1.0-SSP1-45	Above2C
MESSAGE-GLOBIOM 1.0-SSP1-Baseline	Above2C
MESSAGE-GLOBIOM 1.0-SSP2-19	15C
MESSAGE-GLOBIOM 1.0-SSP2-26	excluded
MESSAGE-GLOBIOM 1.0-SSP2-34	Above2C
MESSAGE-GLOBIOM 1.0-SSP2-45	Above2C
MESSAGE-GLOBIOM 1.0-SSP2-60	Above2C
MESSAGE-GLOBIOM 1.0-SSP2-Baseline	Above2C
MESSAGE-GLOBIOM 1.0-SSP3-34	Above2C
MESSAGE-GLOBIOM 1.0-SSP3-45	Above2C
MESSAGE-GLOBIOM 1.0-SSP3-60	Above2C
MESSAGE-GLOBIOM 1.0-SSP3-Baseline	Above2C
MESSAGEix-GLOBIOM 1.0-CD-LINKS_INDCi	Above2C
MESSAGEix-GLOBIOM 1.0-CD-LINKS_NPi	Above2C
MESSAGEix-GLOBIOM 1.0-CD-LINKS_NPi2020_1000	2C
MESSAGEix-GLOBIOM 1.0-CD-LINKS_NPi2020_1600	excluded
MESSAGEix-GLOBIOM 1.0-CD-LINKS_NPi2020_400	15C
MESSAGEix-GLOBIOM 1.0-CD-LINKS_NoPolicy	Above2C
MESSAGEix-GLOBIOM 1.0-LowEnergyDemand	15C
POLES ADVANCE-ADVANCE_2020_1.5C-2100	15C
POLES ADVANCE-ADVANCE_2020_Med2C	2C
POLES ADVANCE-ADVANCE_2020_WB2C	15C
POLES ADVANCE-ADVANCE_2030_1.5C-2100	15C
POLES ADVANCE-ADVANCE_2030_Med2C	2C
POLES ADVANCE-ADVANCE_2030_Price1.5C	15C
POLES ADVANCE-ADVANCE_2030_WB2C	15C
POLES ADVANCE-ADVANCE_INDC	Above2C
POLES ADVANCE-ADVANCE_NoPolicy	Above2C
POLES ADVANCE-ADVANCE_Reference	Above2C
POLES CD-LINKS-CD-LINKS_INDCi	Above2C
POLES CD-LINKS-CD-LINKS_NPi	Above2C
POLES CD-LINKS-CD-LINKS_NPi2020_1000	2C
POLES CD-LINKS-CD-LINKS_NPi2020_1600	excluded
POLES CD-LINKS-CD-LINKS_NPi2020_400	15C
POLES CD-LINKS-CD-LINKS_NoPolicy	Above2C
POLES EMF33-EMF33_1.5C_cost100	15C
POLES EMF33-EMF33_1.5C_full	15C
POLES EMF33-EMF33_1.5C_limbio	15C
POLES EMF33-EMF33_1.5C_nofuel	15C
POLES EMF33-EMF33_Baseline	Above2C
POLES EMF33-EMF33_Med2C_cost100	2C
